,actual,sar_pred,stk_pred
2025-01-01,105.0,181.8483094721693,144.42195601757948
2025-02-01,67.0,86.55862554910082,85.67003235223193
2025-03-01,64.0,49.98950438175471,47.03338150654108
2025-04-01,45.0,65.44157984334788,61.41387369710765
2025-05-01,42.0,44.20461250470891,41.24848962949529
2025-06-01,60.0,47.33288378655762,44.376760911344
2025-07-01,65.0,95.87606486575508,90.09806451098822
2025-08-01,63.0,74.58380795945463,71.85749079217253
2025-09-01,53.0,51.85951391350797,49.13319674622586
2025-10-01,40.0,35.62717298275528,31.83233789211808
2025-11-01,49.0,45.15632327402065,43.501589616183736
2025-12-01,53.0,61.17195484650905,58.44563767922695
2026-01-01,61.0,63.529781745412215,59.50207559917198
2026-02-01,54.0,48.22401679172033,46.56928313388342
2026-03-01,51.0,44.49501239089061,42.840278733053694
