date,actual,sar_pred,lstm_corr,xgb_corr,triple_stack
2023-01-01,51.0,104.869889326411,-7.717110481634598,-31.460966797923298,73.4089225284877
2023-02-01,48.0,65.81553647917633,-13.180910149754284,-15.887693405151367,49.92784307402496
2023-03-01,46.0,47.83811814710225,-21.166251867446686,-2.250920057296753,45.5871980898055
2023-04-01,58.0,23.033265179397745,-27.90023618885074,6.909979553819324,29.943244733217067
2023-05-01,58.0,58.32899658422366,-37.664035456003546,-3.376979351043701,54.95201723317996
2023-06-01,51.0,-17.643135531666985,-47.56248946268089,5.292940659500095,-12.35019487216689
2023-07-01,58.0,46.26608330941599,-57.35153958934223,12.063802719116211,58.3298860285322
2023-08-01,69.0,57.19953503798433,-56.26558826910695,11.299323081970215,68.49885811995455
2023-09-01,66.0,57.619251678221985,-54.96437759317188,9.260329246520996,66.87958092474298
2023-10-01,63.0,37.14836603468984,-54.131887263347174,11.144509810406953,48.292875845096795
2023-11-01,61.0,35.09561675770715,-52.91309593321411,10.528685027312145,45.62430178501929
2023-12-01,61.0,46.80759687848479,-50.08375907765703,14.042279063545436,60.84987594203022
2024-01-01,117.0,25.415036364113234,-44.899213877124005,7.62451090923397,33.0395472733472
2024-02-01,125.0,114.81497210418013,-37.46853999194583,6.668027400970459,121.48299950515059
2024-03-01,119.0,136.2129805610731,-29.030830758514043,-17.280166625976562,118.93281393509653
2024-04-01,95.0,130.41073718462167,-22.218727505187722,-29.3968563079834,101.01388087663827
2024-05-01,96.25,95.90422479948074,-15.413923697829004,-0.3303675055503845,95.57385729393036
2024-06-01,126.0,136.13999153145562,-8.245093232838519,-9.192952156066895,126.94703937538873
2024-07-01,167.0,138.93791325112477,-5.281455127274779,25.776050567626953,164.71396381875172
2024-08-01,138.0,178.0623104897253,-3.4536396337977764,-35.17106246948242,142.89124802024287
2024-09-01,179.0,152.45986524031719,-3.7034418951221797,23.29941177368164,175.75927701399883
2024-10-01,115.0,180.81518287067013,-4.203091448282816,-54.24455486120104,126.57062800946909
2024-11-01,115.0,125.46244789732009,-5.81998402434923,-8.238065719604492,117.2243821777156
2024-12-01,96.0,109.0225591485115,-6.663837803834176,-14.2540864944458,94.7684726540657
