test_date,actual,xgb_pred_h1,sar_pred_h1,ens_pred_h1,train_size
2022-07-01,6100.0,7637.86962890625,6549.399938472305,7093.634783689277,18
2022-08-01,5000.0,6312.462890625,5110.349343829245,5711.406117227123,19
2022-09-01,3900.0,5069.630859375,4223.262464734491,4646.4466620547455,20
2022-10-01,3100.0,3895.61865234375,3042.0992902645366,3468.8589713041433,21
2022-11-01,2700.0,3580.765625,2403.576785265324,2992.171205132662,22
2022-12-01,2400.0,3437.366943359375,2492.6486486430654,2965.0077960012204,23
2023-01-01,2200.0,3393.21533203125,2078.1899417845502,2735.7026369079003,24
2023-02-01,2000.0,2868.308837890625,1998.6163506002476,2433.4625942454363,25
2023-03-01,1900.0,2648.108154296875,1834.7526414055076,2241.430397851191,26
2023-04-01,1700.0,2477.98486328125,1820.6402552293998,2149.312559255325,27
2023-05-01,1600.0,2201.49609375,1505.4346193770684,1853.4653565635342,28
2023-06-01,1500.0,1610.5006103515625,1538.0135538451468,1574.2570820983547,29
2023-07-01,1450.0,1485.9837646484375,1398.3138016142261,1442.1487831313318,30
2023-08-01,1400.0,1473.812744140625,1408.9938608746877,1441.4033025076565,31
2023-09-01,1350.0,1493.304443359375,1366.8123199872502,1430.0583816733126,32
2023-10-01,1300.0,1446.9281005859375,1298.745527668774,1372.8368141273559,33
2023-11-01,1350.0,1483.74365234375,1264.3796735433853,1374.0616629435676,34
2023-12-01,1400.0,1445.4779052734375,1402.3671118070608,1423.922508540249,35
2024-01-01,2800.0,1707.56787109375,1452.9290509897764,1580.2484610417632,36
2024-02-01,3200.0,3190.364013671875,5164.026714897016,4177.1953642844455,37
2024-03-01,3100.0,3840.338623046875,3419.999715307572,3630.1691691772235,38
2024-04-01,2900.0,3500.933349609375,3179.3152855293656,3340.1243175693703,39
2024-05-01,3200.0,2926.734375,2664.6164486583752,2795.6754118291874,40
2024-06-01,5200.0,3033.30810546875,3392.4697940924098,3212.88894978058,41
2024-07-01,5700.0,4301.72119140625,7452.205880084694,5876.963535745472,42
2024-08-01,4900.0,5100.55322265625,5832.298699268436,5466.425960962343,43
2024-09-01,3800.0,4471.7529296875,4605.383881852435,4538.568405769967,44
2024-10-01,3200.0,3725.630126953125,3454.095391368828,3589.8627591609766,45
2024-11-01,2900.0,2752.409423828125,2919.8298924231135,2836.119658125619,46
2024-12-01,2600.0,2494.6748046875,2654.8504132796497,2574.762608983575,47
