date,actual,sarimax_pred,resid_corr,stacked_pred,bull_pred,bear_pred,weighted_pred
2022-01-01,9400.0,9331.508389581402,-156.4713897705078,9175.036999810894,10551.292549782527,8074.032559833588,9230.08722180976
2022-02-01,9100.0,9142.094605451832,37.94465255737305,9180.039258009205,10557.045146710585,8078.4345470481,9235.11949355726
2022-03-01,8800.0,8817.352208260168,16.053319931030273,8833.405528191199,10158.416357419877,7773.396864808255,8886.405961360346
2022-04-01,8400.0,9157.892849359223,18.924564361572266,9176.817413720795,10553.340025778914,8075.5993240743,9231.87831820312
2022-05-01,7900.0,9688.731920747228,-177.3353729248047,9511.396547822424,10938.106029995786,8370.028962083732,9568.464927109359
2022-06-01,7200.0,7279.284791248093,-270.9053649902344,7008.3794262578585,8059.636340196536,6167.373895106915,7050.429702815406
2022-07-01,6100.0,6481.033911233665,-115.94429016113281,6365.089621072532,7319.853064233412,5601.278866543828,6403.280158798968
2022-08-01,5000.0,5197.982981086318,-190.68307495117188,5007.299906135147,5758.3948920554185,4406.423917398929,5037.343705571958
2022-09-01,3900.0,4256.42139174223,-156.87440490722656,4099.546986835004,4714.479034860254,3607.6013484148034,4124.144268756014
2022-10-01,3100.0,3075.807358432117,-120.41448974609375,2955.392868686023,3398.7017989889264,2600.7457244437005,2973.125225898139
2022-11-01,2700.0,2452.064480371722,-77.83740234375,2374.227078027972,2730.3611397321674,2089.319828664615,2388.4724404961394
2022-12-01,2400.0,2529.6997403315604,95.90143585205078,2625.601176183611,3019.4413526111525,2310.529035041578,2641.354783240713
2023-01-01,2200.0,2071.7568743507563,57.39589309692383,2129.15276744768,2448.525682564832,1873.6544353539587,2141.927684052366
2023-02-01,2000.0,2040.92330735268,-207.45025634765625,1833.4730510050238,2108.494008655777,1613.456284884421,1844.4738893110539
2023-03-01,1900.0,1829.4662835419897,-103.31893157958984,1726.1473519623999,1985.0694547567596,1519.0096697269119,1736.504236074174
2023-04-01,1700.0,1853.6736194229622,27.665008544921875,1881.3386279678841,2163.539422163067,1655.577992611738,1892.6266597356914
2023-05-01,1600.0,1515.3036454238613,70.60909271240234,1585.9127381362637,1823.799648856703,1395.603209559912,1595.4282145650811
2023-06-01,1500.0,1538.701873735187,21.95079231262207,1560.6526660478091,1794.7505659549804,1373.374346122072,1570.016582044096
2023-07-01,1450.0,1384.4292196720537,28.888349533081055,1413.3175692051348,1625.315204585905,1243.7194609005187,1421.7974746203656
2023-08-01,1400.0,1422.1513026847435,-44.291038513183594,1377.86026417156,1584.5393037972938,1212.5170324709727,1386.1274257565892
2023-09-01,1350.0,1362.6606867079538,3.6697816848754883,1366.3304683928293,1571.2800386517536,1202.3708121856898,1374.5284512031863
2023-10-01,1300.0,1311.7355691269813,5.641415119171143,1317.3769842461525,1514.983531883075,1159.2917461366142,1325.2812461516294
2023-11-01,1350.0,1258.7047470175037,-29.994735717773438,1228.7100112997302,1413.0165129946897,1081.2648099437627,1236.0822713675286
2023-12-01,1400.0,1414.1511089255425,-3.7576804161071777,1410.3934285094354,1621.9524427858505,1241.146217088303,1418.8557890804918
2024-01-01,2800.0,1451.5114371756654,-29.33551788330078,1422.1759192923646,1635.5023071862192,1251.5148089772808,1430.708974808119
2024-02-01,3200.0,3767.8594370200135,220.85760498046875,3988.7170420004823,4587.024598300554,3510.0709969604245,4012.649344252485
2024-03-01,3100.0,3478.142251164863,-114.41510009765625,3363.7271510672067,3868.2862237272875,2960.0798929391417,3383.90951397361
2024-04-01,2900.0,3146.1242953366573,-134.36691284179688,3011.7573824948604,3463.520989869089,2650.346496595477,3029.8279267898292
2024-05-01,3200.0,2651.9545533747696,-15.431278228759766,2636.52327514601,3032.001766417911,2320.1404821284887,2652.342414796886
2024-06-01,5200.0,3273.759091500371,-43.14311218261719,3230.615979317754,3715.2083762154166,2842.9420617996234,3249.9996751936606
2024-07-01,5700.0,7551.675083802169,209.57830810546875,7761.253391907638,8925.441400693782,6829.902984878721,7807.820912259084
2024-08-01,4900.0,5869.053801235959,63.861358642578125,5932.915159878537,6822.852433860317,5220.965340693113,5968.512650837809
2024-09-01,3800.0,4489.248169737823,-76.84200286865234,4412.406166869171,5074.267091899546,3882.9174268448705,4438.880603870386
2024-10-01,3200.0,3399.782412467745,-238.634765625,3161.147646842745,3635.3197938691565,2781.8099292216157,3180.1145327238014
2024-11-01,2900.0,2947.894176046472,-120.96342468261719,2826.9307513638546,3250.9703640684324,2487.699061200192,2843.8923358720376
2024-12-01,2600.0,2661.0922669179013,180.61492919921875,2841.70719611712,3267.963275534688,2500.7023325830655,2858.7574392938227
